location,month,avg_temp,min_temp,max_temp
CamNorte,2010-09-01,28.17,23.8,33.8
CamNorte,2010-10-01,27.59,24.0,31.9
CamNorte,2010-11-01,27.16,24.0,32.0
CamNorte,2010-12-01,26.5,23.2,30.4
CamNorte,2011-01-01,26.01,21.8,30.0
CamNorte,2011-02-01,25.99,22.8,29.6
CamNorte,2011-03-01,26.32,23.4,30.0
CamNorte,2011-04-01,27.25,23.2,31.6
CamNorte,2011-05-01,28.06,22.0,33.0
CamNorte,2011-06-01,28.07,24.4,33.1
CamNorte,2011-07-01,27.85,23.8,33.8
CamNorte,2011-08-01,28.29,24.6,33.4
CamNorte,2011-09-01,27.64,23.5,33.6
CamNorte,2011-10-01,27.84,24.0,31.7
CamNorte,2011-11-01,27.1,23.5,31.7
CamNorte,2011-12-01,26.61,23.5,33.9
CamNorte,2012-01-01,26.14,23.0,30.0
CamNorte,2012-02-01,26.49,21.7,30.6
CamNorte,2012-03-01,27.11,23.0,31.2
CamNorte,2012-04-01,28.32,22.7,33.6
CamNorte,2012-05-01,28.82,24.0,34.2
CamNorte,2012-06-01,28.87,24.0,35.0
CamNorte,2012-07-01,27.66,23.6,33.8
CamNorte,2012-08-01,28.36,24.0,34.0
CamNorte,2012-09-01,27.41,24.0,33.0
CamNorte,2012-10-01,27.06,23.1,31.7
CamNorte,2012-11-01,27.85,23.5,31.3
CamNorte,2012-12-01,27.08,23.0,31.5
CamNorte,2013-01-01,25.56,22.6,30.3
CamNorte,2013-02-01,25.9,21.8,29.4
CamNorte,2013-03-01,26.56,22.6,32.0
CamNorte,2013-04-01,28.2,21.8,34.2
CamNorte,2013-05-01,28.03,22.8,34.6
CamNorte,2013-06-01,27.0,21.6,33.8
CamNorte,2013-07-01,27.31,21.8,33.0
CamNorte,2013-08-01,27.59,23.5,34.0
CamNorte,2013-09-01,27.67,23.8,32.5
CamNorte,2013-10-01,26.73,22.7,32.9
CamNorte,2013-11-01,27.19,23.1,30.8
CamNorte,2013-12-01,26.36,22.8,30.5
CamNorte,2014-01-01,24.69,14.1,29.0
CamNorte,2014-02-01,25.18,13.5,29.0
CamNorte,2014-03-01,26.33,13.0,30.1
CamNorte,2014-04-01,27.77,16.8,31.8
CamNorte,2014-05-01,29.56,15.7,34.1
CamNorte,2014-06-01,29.28,16.8,35.4
CamNorte,2014-07-01,27.96,24.4,33.3
CamNorte,2014-08-01,28.07,15.2,35.1
CamNorte,2014-09-01,26.96,23.0,33.2
CamNorte,2014-10-01,27.17,23.3,31.2
CamNorte,2014-11-01,27.09,23.8,30.5
CamNorte,2014-12-01,26.19,23.9,29.9
CamNorte,2015-01-01,25.06,21.2,28.9
CamNorte,2015-02-01,25.19,15.1,29.2
CamNorte,2015-03-01,26.61,18.6,30.8
CamNorte,2015-04-01,27.43,22.0,31.7
CamNorte,2015-05-01,28.36,23.0,34.7
CamNorte,2015-06-01,28.69,24.0,33.1
CamNorte,2015-07-01,27.75,23.2,33.1
CamNorte,2015-08-01,28.25,23.1,33.0
CamNorte,2015-09-01,27.57,23.1,32.7
CamNorte,2015-10-01,27.33,23.3,32.8
CamNorte,2015-11-01,27.88,23.8,31.0
CamNorte,2015-12-01,26.84,23.0,39.3
CamNorte,2016-01-01,26.29,20.1,30.5
CamNorte,2016-02-01,25.86,20.5,30.5
CamNorte,2016-03-01,26.73,21.0,31.2
CamNorte,2016-04-01,28.58,23.2,33.8
CamNorte,2016-05-01,29.16,24.1,35.0
CamNorte,2016-06-01,28.37,24.0,34.2
CamNorte,2016-07-01,28.23,24.0,33.4
CamNorte,2016-08-01,28.43,15.2,33.7
CamNorte,2016-09-01,28.2,23.8,34.2
CamNorte,2016-10-01,27.11,23.0,32.7
CamNorte,2016-11-01,27.22,23.0,31.1
CamNorte,2016-12-01,26.65,23.2,30.0
CamNorte,2017-01-01,25.94,22.8,29.0
CamNorte,2017-02-01,25.47,22.4,29.2
CamNorte,2017-03-01,26.56,22.8,36.5
CamNorte,2017-04-01,27.39,21.3,32.2
CamNorte,2017-05-01,28.64,24.5,33.5
CamNorte,2017-06-01,28.63,23.0,34.8
CamNorte,2017-07-01,27.6,24.0,33.6
CamNorte,2017-08-01,28.08,23.8,34.0
CamNorte,2017-09-01,27.55,23.3,34.0
CamNorte,2017-10-01,27.07,23.3,31.8
CamNorte,2017-11-01,27.54,23.9,31.0
CamNorte,2017-12-01,26.64,23.3,30.3
CamNorte,2018-01-01,25.76,22.2,29.5
CamNorte,2018-02-01,25.89,20.4,30.0
CamNorte,2018-03-01,26.66,22.3,30.4
CamNorte,2018-04-01,27.91,23.7,32.3
CamNorte,2018-05-01,29.12,24.2,33.2
CamNorte,2018-06-01,28.13,23.7,33.0
CamNorte,2018-07-01,27.62,23.8,33.5
CamNorte,2018-08-01,28.03,23.6,33.8
CamNorte,2018-09-01,27.41,23.2,33.5
CamNorte,2018-10-01,27.5,23.0,33.5
CamNorte,2018-11-01,27.62,23.9,31.0
CamNorte,2018-12-01,27.05,23.9,30.4
CamNorte,2019-01-01,26.25,23.0,29.4
CamNorte,2019-02-01,25.81,20.0,29.6
CamNorte,2019-03-01,27.02,21.0,31.0
CamNorte,2019-04-01,28.48,23.3,32.8
CamNorte,2019-05-01,28.53,23.4,33.6
CamNorte,2019-06-01,29.44,24.7,36.0
CamNorte,2019-07-01,28.11,23.0,34.2
CamNorte,2019-08-01,28.03,24.1,34.6
CamNorte,2019-09-01,27.76,23.2,34.0
CamNorte,2019-10-01,27.61,23.0,32.2
CamNorte,2019-11-01,27.25,23.8,32.2
CamNorte,2019-12-01,27.08,16.8,31.0
CamNorte,2020-01-01,26.44,22.6,29.8
CamNorte,2020-02-01,26.05,22.8,29.5
CamNorte,2020-03-01,27.26,23.0,31.0
CamNorte,2020-04-01,28.28,23.0,31.9
CamNorte,2020-05-01,29.12,24.4,34.2
CamNorte,2020-06-01,28.51,24.8,34.0
CamNorte,2020-07-01,28.17,24.0,33.0
CamNorte,2020-08-01,27.91,22.8,33.4
CamNorte,2020-09-01,28.05,24.0,33.6
CamNorte,2020-10-01,27.45,23.4,32.8
CamNorte,2020-11-01,27.06,23.2,31.8
CamNorte,2020-12-01,26.78,22.6,30.2
CamNorte,2021-01-01,25.77,22.0,31.2
CamNorte,2021-02-01,25.95,22.0,30.0
CamNorte,2021-03-01,27.18,23.0,31.0
CamNorte,2021-04-01,27.29,21.8,32.0
CamNorte,2021-05-01,28.92,24.7,33.2
CamNorte,2021-06-01,28.5,23.8,34.8
CamNorte,2021-07-01,28.25,24.0,33.4
CamNorte,2021-08-01,27.78,22.6,34.2
CamNorte,2021-09-01,27.3,22.9,32.0
CamNorte,2021-10-01,27.43,23.6,32.0
CamNorte,2021-11-01,27.76,23.8,30.8
CamNorte,2021-12-01,26.33,22.0,29.6
